FILE: acculturation.XPT
------------------------------------------------------------
SHAPE: (11372, 5)
COLUMNS: ['SEQN', 'ACD010A', 'ACD010B', 'ACD010C', 'ACD040']
SEQN present: YES

Missing %:
SEQN        0.00
ACD010A    24.38
ACD010B    99.77
ACD010C    93.94
ACD040     79.56

Full DataFrame Preview:
           SEQN  ACD010A  ACD010B  ACD010C  ACD040
0      130378.0      1.0      NaN      9.0     NaN
1      130379.0      1.0      NaN      NaN     NaN
2      130380.0      NaN      NaN      NaN     2.0
3      130381.0      1.0      NaN      NaN     NaN
4      130383.0      NaN      NaN      NaN     3.0
5      130384.0      NaN      NaN      NaN     1.0
6      130385.0      1.0      NaN      NaN     NaN
7      130386.0      NaN      NaN      NaN     4.0
8      130387.0      1.0      NaN      NaN     NaN
9      130388.0      1.0      NaN      NaN     NaN
10     130389.0      1.0      NaN      NaN     NaN
11     130390.0      1.0      NaN      NaN     NaN
12     130391.0      1.0      NaN      NaN     NaN
13     130392.0      1.0      NaN      NaN     NaN
14     130393.0      1.0      NaN      NaN     NaN
15     130394.0      1.0      NaN      NaN     NaN
16     130395.0      1.0      NaN      NaN     NaN
17     130396.0      1.0      NaN      NaN     NaN
18     130397.0      1.0      NaN      NaN     NaN
19     130398.0      NaN      NaN      NaN     1.0
20     130399.0      1.0      NaN      NaN     NaN
21     130400.0      NaN      NaN      NaN     4.0
22     130401.0      1.0      NaN      NaN     NaN
23     130402.0      1.0      NaN      NaN     NaN
24     130403.0      NaN      NaN      NaN     4.0
25     130404.0      1.0      NaN      NaN     NaN
26     130405.0      1.0      NaN      NaN     NaN
27     130406.0      1.0      NaN      NaN     NaN
28     130407.0      1.0      NaN      NaN     NaN
29     130408.0      1.0      NaN      NaN     NaN
30     130409.0      1.0      NaN      NaN     NaN
31     130410.0      1.0      NaN      NaN     NaN
32     130411.0      1.0      NaN      NaN     NaN
33     130412.0      1.0      NaN      9.0     NaN
34     130413.0      NaN      NaN      NaN     2.0
35     130414.0      NaN      NaN      NaN     2.0
36     130415.0      1.0      NaN      NaN     NaN
37     130416.0      NaN      NaN      NaN     2.0
38     130417.0      1.0      NaN      NaN     NaN
39     130418.0      1.0      NaN      NaN     NaN
40     130419.0      1.0      NaN      9.0     NaN
41     130420.0      1.0      NaN      NaN     NaN
42     130421.0      NaN      NaN      NaN     5.0
43     130422.0      1.0      NaN      NaN     NaN
44     130423.0      NaN      NaN      NaN     5.0
45     130424.0      1.0      NaN      NaN     NaN
46     130425.0      1.0      NaN      NaN     NaN
47     130426.0      NaN      NaN      NaN     5.0
48     130427.0      1.0      NaN      NaN     NaN
49     130429.0      1.0      NaN      NaN     NaN
50     130430.0      1.0      NaN      NaN     NaN
51     130431.0      NaN      NaN      NaN     2.0
52     130432.0      1.0      NaN      9.0     NaN
53     130433.0      1.0      NaN      NaN     NaN
54     130434.0      1.0      NaN      NaN     NaN
55     130435.0      1.0      NaN      NaN     NaN
56     130436.0      1.0      NaN      NaN     NaN
57     130437.0      1.0      NaN      NaN     NaN
58     130438.0      NaN      NaN      NaN     1.0
59     130439.0      1.0      NaN      NaN     NaN
60     130440.0      1.0      NaN      NaN     NaN
61     130441.0      1.0      NaN      9.0     NaN
62     130442.0      1.0      NaN      NaN     NaN
63     130443.0      1.0      NaN      NaN     NaN
64     130444.0      1.0      NaN      NaN     NaN
65     130445.0      NaN      NaN      NaN     2.0
66     130446.0      1.0      NaN      NaN     NaN
67     130447.0      1.0      NaN      NaN     NaN
68     130448.0      NaN      NaN      NaN     4.0
69     130449.0      1.0      NaN      NaN     NaN
70     130450.0      1.0      NaN      NaN     NaN
71     130451.0      1.0      NaN      NaN     NaN
72     130452.0      NaN      NaN      NaN     3.0
73     130453.0      1.0      NaN      NaN     NaN
74     130454.0      NaN      NaN      NaN     5.0
75     130456.0      1.0      NaN      NaN     NaN
76     130457.0      1.0      NaN      NaN     NaN
77     130458.0      1.0      NaN      NaN     NaN
78     130459.0      1.0      NaN      NaN     NaN
79     130460.0      1.0      NaN      NaN     NaN
80     130461.0      1.0      NaN      NaN     NaN
81     130462.0      1.0      NaN      NaN     NaN
82     130463.0      1.0      NaN      NaN     NaN
83     130464.0      1.0      NaN      NaN     NaN
84     130465.0      1.0      NaN      NaN     NaN
85     130466.0      NaN      NaN      9.0     NaN
86     130467.0      NaN      NaN      NaN     2.0
87     130468.0      1.0      NaN      NaN     NaN
88     130469.0      1.0      NaN      NaN     NaN
89     130470.0      1.0      NaN      NaN     NaN
90     130471.0      1.0      NaN      NaN     NaN
91     130472.0      1.0      NaN      NaN     NaN
92     130473.0      1.0      NaN      NaN     NaN
93     130474.0      1.0      NaN      NaN     NaN
94     130475.0      1.0      NaN      NaN     NaN
95     130476.0      1.0      NaN      NaN     NaN
96     130477.0      1.0      NaN      NaN     NaN
97     130478.0      1.0      NaN      NaN     NaN
98     130479.0      1.0      NaN      NaN     NaN
99     130480.0      1.0      NaN      NaN     NaN
100    130481.0      1.0      NaN      NaN     NaN
101    130482.0      1.0      NaN      NaN     NaN
102    130483.0      1.0      NaN      NaN     NaN
103    130484.0      1.0      NaN      NaN     NaN
104    130485.0      NaN      NaN      NaN     4.0
105    130486.0      1.0      NaN      NaN     NaN
106    130487.0      1.0      NaN      NaN     NaN
107    130488.0      1.0      NaN      NaN     NaN
108    130489.0      NaN      NaN      NaN     5.0
109    130490.0      1.0      NaN      NaN     NaN
110    130491.0      1.0      NaN      NaN     NaN
111    130492.0      1.0      NaN      NaN     NaN
112    130493.0      1.0      NaN      NaN     NaN
113    130494.0      1.0      NaN      NaN     NaN
114    130495.0      1.0      NaN      NaN     NaN
115    130496.0      1.0      NaN      NaN     NaN
116    130497.0      1.0      NaN      NaN     NaN
117    130498.0      NaN      NaN      NaN     3.0
118    130499.0      1.0      NaN      NaN     NaN
119    130500.0      1.0      NaN      NaN     NaN
120    130501.0      1.0      NaN      NaN     NaN
121    130502.0      1.0      NaN      NaN     NaN
122    130503.0      1.0      NaN      NaN     NaN
123    130504.0      1.0      NaN      NaN     NaN
124    130505.0      1.0      NaN      NaN     NaN
125    130506.0      1.0      NaN      NaN     NaN
126    130508.0      1.0      NaN      NaN     NaN
127    130509.0      1.0      NaN      NaN     NaN
128    130510.0      1.0      NaN      NaN     NaN
129    130511.0      NaN      NaN      NaN     4.0
130    130512.0      1.0      NaN      NaN     NaN
131    130513.0      1.0      NaN      NaN     NaN
132    130514.0      1.0      NaN      NaN     NaN
133    130515.0      NaN      NaN      NaN     2.0
134    130516.0      1.0      NaN      NaN     NaN
135    130517.0      1.0      NaN      9.0     NaN
136    130518.0      1.0      NaN      NaN     NaN
137    130519.0      1.0      NaN      NaN     NaN
138    130520.0      1.0      NaN      NaN     NaN
139    130521.0      NaN      NaN      NaN     5.0
140    130522.0      1.0      NaN      NaN     NaN
141    130523.0      1.0      NaN      NaN     NaN
142    130524.0      1.0      NaN      NaN     NaN
143    130525.0      1.0      NaN      NaN     NaN
144    130526.0      1.0      NaN      NaN     NaN
145    130527.0      1.0      NaN      NaN     NaN
146    130528.0      1.0      NaN      NaN     NaN
147    130529.0      1.0      NaN      NaN     NaN
148    130530.0      1.0      NaN      NaN     NaN
149    130531.0      1.0      NaN      NaN     NaN
150    130532.0      1.0      NaN      9.0     NaN
151    130533.0      1.0      NaN      NaN     NaN
152    130534.0      1.0      NaN      NaN     NaN
153    130535.0      NaN      NaN      9.0     NaN
