FILE: occupation.XPT
------------------------------------------------------------
SHAPE: (8501, 6)
COLUMNS: ['SEQN', 'OCD150', 'OCQ180', 'OCQ210', 'OCQ215', 'OCQ383']
SEQN present: YES

Missing %:
SEQN       0.00
OCD150     0.19
OCQ180    50.04
OCQ210    83.05
OCQ215    46.96
OCQ383    57.49

Full DataFrame Preview:
          SEQN  OCD150   OCQ180  OCQ210  OCQ215  OCQ383
0     130378.0     1.0     40.0     NaN     5.0     NaN
1     130379.0     1.0     32.0     2.0     3.0     NaN
2     130380.0     1.0      8.0     2.0     2.0     NaN
3     130384.0     1.0     44.0     NaN     7.0     NaN
4     130385.0     4.0      NaN     NaN     NaN     1.0
5     130386.0     1.0     40.0     NaN     5.0     NaN
6     130387.0     4.0      NaN     NaN     NaN     7.0
7     130388.0     2.0      NaN     1.0     4.0     NaN
8     130389.0     1.0     40.0     NaN     5.0     NaN
9     130390.0     1.0     40.0     NaN     5.0     NaN
10    130391.0     3.0      NaN     NaN     NaN     NaN
11    130392.0     4.0      NaN     NaN     NaN     3.0
12    130393.0     2.0      NaN     1.0     5.0     NaN
13    130394.0     1.0     40.0     NaN     5.0     NaN
14    130395.0     1.0     16.0     2.0     3.0     NaN
15    130396.0     1.0     30.0     2.0     4.0     NaN
16    130397.0     4.0      NaN     NaN     NaN     3.0
17    130398.0     1.0     72.0     NaN     6.0     NaN
18    130399.0     4.0      NaN     NaN     NaN     3.0
19    130400.0     4.0      NaN     NaN     NaN     4.0
20    130401.0     4.0      NaN     NaN     NaN     2.0
21    130402.0     1.0     60.0     NaN     5.0     NaN
22    130404.0     4.0      NaN     NaN     NaN     3.0
23    130406.0     1.0     32.0     2.0     5.0     NaN
24    130407.0     4.0      NaN     NaN     NaN     3.0
25    130408.0     4.0      NaN     NaN     NaN     3.0
26    130409.0     4.0      NaN     NaN     NaN     3.0
27    130410.0     4.0      NaN     NaN     NaN     3.0
28    130413.0     4.0      NaN     NaN     NaN     5.0
29    130414.0     4.0      NaN     NaN     NaN     2.0
30    130415.0     4.0      NaN     NaN     NaN     4.0
31    130416.0     1.0     54.0     NaN     7.0     NaN
32    130417.0     1.0     50.0     NaN     5.0     NaN
33    130418.0     1.0     36.0     NaN     3.0     NaN
34    130419.0     4.0      NaN     NaN     NaN     2.0
35    130420.0     1.0     26.0     2.0     5.0     NaN
36    130422.0     4.0      NaN     NaN     NaN     3.0
37    130424.0     1.0     40.0     NaN     5.0     NaN
38    130425.0     4.0      NaN     NaN     NaN     7.0
39    130426.0     3.0      NaN     NaN     NaN     NaN
40    130427.0     4.0      NaN     NaN     NaN     3.0
41    130430.0     4.0      NaN     NaN     NaN     2.0
42    130431.0     4.0      NaN     NaN     NaN     1.0
43    130434.0     4.0      NaN     NaN     NaN     4.0
44    130435.0     1.0      6.0     2.0     1.0     NaN
45    130436.0     1.0     60.0     NaN     7.0     NaN
46    130437.0     1.0     36.0     NaN     5.0     NaN
47    130438.0     1.0     48.0     NaN     4.0     NaN
48    130439.0     1.0     15.0     2.0     3.0     NaN
49    130440.0     1.0     50.0     NaN     6.0     NaN
50    130441.0     1.0     50.0     NaN     5.0     NaN
51    130442.0     1.0     38.0     NaN     5.0     NaN
52    130443.0     1.0     55.0     NaN     6.0     NaN
53    130444.0     4.0      NaN     NaN     NaN     3.0
54    130445.0     1.0     40.0     NaN     5.0     NaN
55    130446.0     1.0     50.0     NaN     5.0     NaN
56    130449.0     1.0     40.0     NaN     5.0     NaN
57    130450.0     4.0      NaN     NaN     NaN     4.0
58    130452.0     1.0     40.0     NaN     5.0     NaN
59    130453.0     4.0      NaN     NaN     NaN     4.0
60    130456.0     1.0     30.0     2.0     4.0     NaN
61    130457.0     1.0     40.0     NaN     5.0     NaN
62    130459.0     4.0      NaN     NaN     NaN     4.0
63    130461.0     4.0      NaN     NaN     NaN     3.0
64    130462.0     3.0      NaN     NaN     NaN     NaN
